Date,Asir,Bahah,Northern Borders,Jawf,Madinah,Qasim,Riyadh,Eastern Province,Hail,Jizan,Makkah,Najran,Tabuk
02/03/2020,0,0,0,0,0,0,0,1,0,0,0,0,0
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0,0,1,0,0,0,0,0
03/05/2020,0,0,0,0,0,0,0,3,0,0,0,0,0
03/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/2020,0,0,0,0,0,0,0,2,0,0,0,0,0
03/08/2020,0,0,0,0,0,0,0,4,0,0,0,0,0
03/09/2020,0,0,0,0,0,0,1,3,0,0,0,0,0
03/10/2020,0,0,0,0,0,0,0,4,0,0,1,0,0
03/11/2020,0,0,0,0,0,0,0,0,0,0,1,0,0
03/12/2020,0,0,0,0,0,0,0,3,0,0,21,0,0
03/13/2020,0,0,0,0,0,0,3,11,0,0,27,0,0
03/14/2020,0,0,0,0,0,0,12,4,0,0,1,0,0
03/15/2020,0,0,0,0,0,0,2,11,0,0,2,0,0
03/16/2020,0,0,0,0,0,0,4,2,0,3,6,0,0
03/17/2020,0,0,0,0,0,0,13,19,0,0,6,0,0
03/18/2020,1,0,0,0,0,0,19,23,0,0,24,0,0
03/19/2020,1,0,0,0,0,0,21,10,0,0,4,0,0
03/20/2020,1,1,0,0,1,0,49,4,0,0,13,0,1
03/21/2020,0,0,0,0,0,0,36,5,0,0,7,0,0
03/22/2020,0,0,0,0,0,1,34,12,0,0,72,0,0
03/23/2020,5,0,0,0,0,0,18,6,0,2,19,1,0
03/24/2020,14,12,0,0,1,0,69,16,0,3,82,8,0
03/25/2020,2,0,2,0,6,0,83,26,0,0,10,4,0
03/26/2020,0,0,0,0,3,1,34,17,0,57,0,0,0
03/27/2020,0,0,0,0,19,2,46,18,0,7,0,0,0
03/28/2020,4,0,0,0,6,0,41,15,0,0,30,0,3
03/29/2020,1,0,0,0,14,0,27,33,0,0,20,0,1
03/30/2020,1,0,0,0,23,2,23,52,0,1,51,0,1
03/31/2020,2,0,0,0,3,1,33,20,0,2,49,0,0
